# Thermistor table for Semitec 103GT-2
# Temp	Resistance	aplha 
-50.0	inf			0.0
-40.0	4070000.0	6.9
-30.0	2078000.0	6.5
-20.0	1103000.0	6.1
-10.0	611900.0	5.7
0.0		351000.0	5.4
10.0	207800.0	5.1
20.0	126700.0	4.8
25.0	100000.0	4.7
30.0	79420.0		4.6
40.0	51050.0		4.3
50.0	33590.0		4.1
60.0	22590.0		3.9
70.0	15500.0		3.7
80.0	10840.0		3.5
90.0	7708.0		3.3
100.0	5569.0		3.2
110.0	4090.0		3.0
120.0	3045.0		2.9
125.0	2640.0		2.9
130.0	2297.0		2.8
140.0	1754.0		2.7
150.0	1355.0		2.5
160.0	1059.0		2.4
180.0	665.9		2.3
200.0	434.4		2.1
220.0	292.7		1.9
240.0	203.0		1.8
260.0	144.5		1.7
280.0	105.3		1.6
300.0	78.4		1.5
400.0	0.0			0.0
